file_name,rule_id,severity,line_number,detected_message,actual_code_line,validity,verification_reason
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3609,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3610,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701B_MVD_I.PVLAST\"",PV1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3611,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701B_MVD_TOT.PVLAST\"",TOT1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3678,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701C_ZV.PVLAST\"",ST1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3679,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_DPT_C2HG01NLOGIC.alert.LOOPERR\"",LOOP1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3680,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701C_MVD_I.PVLAST\"",PV1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3681,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet(\""C1_HVAC:T1_HGB_C2701C_MVD_TOT.PVLAST\"",TOT1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3799,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AUTOSEL.SEL1\"",value1);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3800,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AUTOSEL.SEL2\"",value2);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3801,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AUTOSEL.SEL3\"",value3);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3802,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AUTOSEL.SEL4\"",value4);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,3803,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.AUTOSEL.SEL5\"",value5);",VALID,룰 검사 기준 부합
POP_CTRL_AUTOBACKUP_HGB_C2_2.pnl,CTL_PRF_002,Medium,4433,"[CTL_PRF_002] 위반: Event, Ctrl Manager 이벤트 교환 횟수 최소화","dpGet($SetDP + \"".cmd.HOLD_BIT\"",chkbit);",VALID,룰 검사 기준 부합
